Cl10g00069,Rpu1g6267,Rpu2g5715,Rpu3g1146,Rpu3g12848,Rbr4g2246,Rte2g2260
Cl10g00070,Rpu1g6268,Rpu2g5716,Rpu3g1145,Rpu3g12849,Rbr4g2247,Rte2g2261
Cl10g00071,Rpu1g6269,Rpu2g5717,Rpu3g1144,Rpu3g12850,Rbr4g2248,Rte2g2262
Cl10g00072,,,,,,
Cl10g00073,Rpu1g6270,Rpu2g5718,Rpu3g1143,Rpu3g12851,Rbr4g2249,Rte2g2263
Cl10g00074,,,,,,
Cl10g00075,Rpu1g6271,Rpu2g5719,Rpu3g1142,Rpu3g12852,Rbr4g2250,Rte2g2264
Cl10g00076,Rpu1g6272,Rpu2g5720,Rpu3g1141,Rpu3g12853,Rbr4g2251,Rte2g2265
Cl10g00077,Rpu1g6273,Rpu2g5721,Rpu3g1140,Rpu3g12854,Rbr4g2252,Rte2g2266
Cl10g00078,Rpu1g6275,Rpu2g5723,Rpu3g1138,Rpu3g12856,Rbr4g2253,Rte2g2268
Cl10g00079,Rpu1g6276,Rpu2g5724,Rpu3g1137,Rpu3g12857,Rbr4g2254,Rte2g2269
Cl10g00080,Rpu1g6278,Rpu2g5727,Rpu3g1135,Rpu3g12859,Rbr4g2255,Rte2g2270
Cl10g00081,,,Rpu3g1134,Rpu3g12860,,
Cl10g00082,Rpu1g6279,Rpu2g5728,Rpu3g1133,Rpu3g12861,Rbr4g2256,Rte2g2271
Cl10g00083,Rpu1g6286,Rpu2g5734,Rpu3g1127,Rpu3g12867,Rbr4g2262,Rte2g2278
Cl10g00084,,,,,,
Cl10g00085,Rpu1g6289,Rpu2g5736,Rpu3g1124,Rpu3g12870,Rbr4g2264,Rte2g2279
Cl10g00086,Rpu1g6290,Rpu2g5737,Rpu3g1123,Rpu3g12871,Rbr4g2265,Rte2g2280
Cl10g00087,Rpu1g6291,Rpu2g5738,Rpu3g1122,Rpu3g12872,Rbr4g2266,Rte2g2281
Cl10g00088,Rpu1g6292,Rpu2g5740,Rpu3g1121,Rpu3g12873,Rbr4g2267,Rte2g2282
Cl10g00089,,,,,,Rte2g2283
Cl10g00090,,,,,,
Cl10g00091,Rpu1g6293,Rpu2g5741,Rpu3g1120,Rpu3g12874,Rbr4g2268,Rte2g2284
Cl10g00092,,,,,,
Cl10g00093,Rpu1g6294,Rpu2g5742,Rpu3g1119,Rpu3g12875,Rbr4g2269,Rte2g2285
Cl10g00094,,,,,,
Cl10g00095,Rpu1g6295,Rpu2g5744,Rpu3g1117,Rpu3g12876,Rbr4g2271,Rte2g2286
Cl10g00096,Rpu1g6296,Rpu2g5745,Rpu3g1116,Rpu3g12877,Rbr4g2272,Rte2g2287
Cl10g00097,Rpu1g6297,Rpu2g5746,Rpu3g1115,Rpu3g12878,Rbr4g2273,Rte2g2288
